width	height	name	description	thumbnail	image
1119	942	GitHub Project View	Planning the features and building blocks to my portfolio website.	https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Starting%20a%20New%20Honors%20Portfolio%20Website/0-thumb_h77b9g.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Starting%20a%20New%20Honors%20Portfolio%20Website/0_uifjmg.webp
2984	1572	Early development	An early photo of my portfolio website while it was in development.	https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Starting%20a%20New%20Honors%20Portfolio%20Website/1-thumb_il538c.webp	https://res.cloudinary.com/kjy5/image/upload/v1655227120/Honors%20Portfolio/Starting%20a%20New%20Honors%20Portfolio%20Website/1_iscpnc.webp
