title	description	url	image
LOST SURP 2022 - HSL Wiki	HSL SURP 2022 Wiki	https://wiki.huskysat.org/wiki/index.php/LOST_SURP_2022	https://wiki.huskysat.org/wiki/images/1/14/Hsl_logo_black_transparent.png?00c55
GitHub - UWCubeSat/lost: Lost: Open-source Star Tracker	Lost: Open-source Star Tracker. Contribute to UWCubeSat/lost development by creating an account on GitHub.	https://github.com/UWCubeSat/lost	https://opengraph.githubassets.com/b27b5d16d588d0ae969072b57facf1ebd577437829658f4a9864c1ace14504b7/UWCubeSat/lost
